,score
713,93.2
714,95.75
715,104.5
716,109.6
717,101.4
718,97.35
719,91.7
720,88.6
721,81.2
722,78.35
723,78.35
724,78.35
725,77.5
726,75.65
727,74.8
728,70.8
729,66.45
730,58.1
731,53.1
732,53.05
733,61.55
734,59.35
735,59.05
736,52.55
737,51.7
738,51.25
739,58.4
740,71.3
741,74.7
742,86.6
743,101.6
744,115.8
745,123.05
746,130.65
747,139.3
748,144.55
749,151.9
750,169.7
751,174.85
752,177.85
753,174.45
754,175.85
755,171.35
756,179.15
757,185.95
758,192.3
759,191.9
760,189.7
761,196.9
762,200.0
763,191.45
764,188.25
765,187.25
766,188.85
767,180.2
768,185.95
769,185.6
770,175.65
771,172.0
772,172.85
773,171.25
774,176.3
775,169.05
776,155.25
777,145.0
778,135.5
779,128.8
780,117.3
781,109.6
782,95.2
783,96.7
784,91.55
785,98.7
786,105.6
787,117.2
788,117.3
789,116.85
790,113.2
791,122.1
792,120.75
793,123.6
794,126.45
795,137.5
796,142.75
797,144.25
798,153.2
799,163.7
800,169.25
801,173.7
802,190.1
803,190.45
804,192.2
805,190.3
806,184.05
807,178.1
808,177.1
809,170.55
810,166.35
811,153.45
812,147.95
813,139.4
814,127.15
815,117.15
816,114.85
817,113.35
818,102.5
819,90.65
820,85.45
821,81.4
822,71.85
823,78.95
824,76.15
825,76.8
826,77.05
827,83.9
828,80.45
829,86.5
830,89.65
831,95.7
832,107.35
833,123.55
834,135.75
835,142.05
836,148.7
837,154.95
838,162.4
839,165.8
840,168.1
841,173.15
842,172.65
843,171.95
844,181.75
845,183.05
846,181.15
847,174.55
848,173.85
849,176.85
850,186.2
851,190.05
852,192.0
853,181.15
854,178.25
855,181.25
856,184.35
857,184.15
858,184.05
859,193.15
860,202.0
861,200.7
862,206.25
863,208.65
864,211.75
865,212.7
866,217.0
867,223.6
868,232.45
869,228.65
870,232.8
871,231.15
872,229.05
873,225.6
874,221.3
875,216.45
876,208.15
877,206.15
878,208.1
879,199.65
880,193.85
881,201.4
882,195.95
883,188.15
884,173.95
885,173.05
886,165.85
887,156.4
888,146.75
889,145.1
890,135.0
891,130.75
892,125.25
893,129.35
894,133.5
895,134.85
896,137.5
897,148.85
898,154.3
899,160.7
900,160.35
901,155.0
902,153.55
903,157.9
904,168.7
905,168.0
906,175.2
907,176.65
908,180.6
909,185.2
910,196.6
911,197.25
912,203.7
913,212.2
914,215.95
915,220.65
916,225.2
917,219.1
918,209.35
919,207.5
920,210.15
921,206.7
922,216.8
923,206.4
924,196.35
925,190.0
926,191.1
927,199.1
928,195.05
929,193.1
930,178.0
931,174.55
932,169.3
933,159.0
934,151.3
935,141.5
936,130.3
937,128.4
938,124.8
939,121.55
940,124.55
941,131.05
942,118.55
943,122.85
944,123.9
945,131.25
946,120.0
947,118.0
948,125.45
949,130.9
950,145.0
951,150.45
952,148.5
953,159.6
954,169.7
955,183.1
956,194.65
957,187.55
958,186.45
959,181.1
960,169.1
961,160.4
962,160.2
963,156.4
964,168.1
965,155.75
966,161.8
967,154.6
968,150.15
969,138.45
970,121.5
971,114.85
972,109.6
973,94.6
974,84.45
975,83.65
976,87.85
977,93.65
978,105.85
979,114.05
980,130.75
981,137.15
982,147.55
983,157.0
984,150.8
985,157.3
986,166.4
987,173.65
988,171.9
989,180.8
990,192.25
991,204.3
992,213.8
993,219.7
994,224.65
995,216.9
996,207.15
997,207.6
998,200.1
999,210.2
1000,201.0
1001,196.0
1002,188.8
1003,182.6
1004,183.0
1005,174.05
1006,169.05
1007,174.0
1008,170.55
1009,162.75
1010,160.6
1011,151.6
1012,145.3
1013,141.1
1014,134.1
1015,133.5
1016,133.8
1017,131.7
1018,131.7
1019,120.4
1020,119.7
1021,124.9
1022,125.1
1023,120.7
1024,117.25
1025,129.1
1026,119.3
1027,116.8
1028,118.95
1029,123.5
